id,Feeder,To,From,length,TurbALeft,TurbBLeft,cableSize,Losses,startTurb,endTurb,,,,,,,,,
,1,JB11-1,sub11,8185.039,,,'1250',,D,C,,,,,,,,,
,1,JB11-2,JB11-1,8151.1,,,'1250',,D,D,,,,,,,,,
,1,JB11-3,JB11-2,6739.767,,,'1250',,D,D,,,,,,,,,
,1,JB11-4,JB11-3,8237.558,,,'1250',,D,D,,,,,,,,,
,1,WTT-11-01_42,JB11-4,5072.203,,,'1250',,A,D,,,,,,,,,
,1,WTT-11-02_42,WTT-11-01_42,1458.588,,,'1000',,A,A,,,,,,,,,
,1,WTT-11-03_42,WTT-11-02_42,6400.027,,,'750',,A,A,,,,,,,,,
,1,WTT-11-04_42,WTT-11-03_42,1349.352,,,'500',,A,A,,,,,,,,,
,1,WTT-11-05_42,WTT-11-04_42,1462.444,,,'4/0',,A,A,,,,,,,,,
,1,WTT-11-06_42,WTT-11-05_42,1387.876,,,'1/0',,A,A,,,,,,,,,
,2,JB12-1,sub12,8142.284,,,'1250',,D,C,,,,,,,,,
,2,JB12-2,JB12-1,8096.63,,,'1250',,D,D,,,,,,,,,
,2,JB12-3,JB12-2,6754.327,,,'1250',,D,D,,,,,,,,,
,2,JB12-4,JB12-3,8340.042,,,'1250',,D,D,,,,,,,,,
,2,WTT-12-01_42,JB12-4,7931.039,,,'1250',,A,D,,,,,,,,,
,2,WTT-12-02_42,WTT-12-01_42,1537.267,,,'1000',,A,A,,,,,,,,,
,2,WTT-12-03_42,WTT-12-02_42,1477.932,,,'750',,A,A,,,,,,,,,
,2,WTT-12-04_42,WTT-12-03_42,1594.181,,,'500',,A,A,,,,,,,,,
,2,WTT-12-05_42,WTT-12-04_42,1423.982,,,'4/0',,A,A,,,,,,,,,
,2,WTT-12-06_42,WTT-12-05_42,1480.449,,,'1/0',,A,A,,,,,,,,,
,3,JB13-1,sub13,8132.095,,,'1250',,D,C,,,,,,,,,
,3,JB13-2,JB13-1,8034.469,,,'1250',,D,D,,,,,,,,,
,3,JB13-3,JB13-2,6779.795,,,'1250',,D,D,,,,,,,,,
,3,WTT-13-01_42,JB13-3,4901.124,,,'1250',,A,D,,,,,,,,,
,3,WTT-13-02_42,WTT-13-01_42,1475.362,,,'1000',,A,A,,,,,,,,,
,3,WTT-13-03_42,WTT-13-02_42,1499.047,,,'750',,A,A,,,,,,,,,
,3,WTT-13-04_42,WTT-13-03_42,1408.632,,,'500',,A,A,,,,,,,,,
,3,WTT-13-05_42,WTT-13-04_42,1427.984,,,'4/0',,A,A,,,,,,,,,
,3,WTT-13-06_42,WTT-13-05_42,1419.706,,,'1/0',,A,A,,,,,,,,,
,4,JB14-1,sub14,8127.457,,,'1250',,D,C,,,,,,,,,
,4,JB14-2,JB14-1,7999.961,,,'1250',,D,D,,,,,,,,,
,4,JB14-3,JB14-2,6817.186,,,'1250',,D,D,,,,,,,,,
,4,WTT-14-01_42,JB14-3,1918.942,,,'1250',,A,D,,,,,,,,,
,4,WTT-14-02_42,WTT-14-01_42,1427.446,,,'1000',,A,A,,,,,,,,,
,4,WTT-14-03_42,WTT-14-02_42,4839.831,,,'750',,A,A,,,,,,,,,
,4,WTT-14-04_42,WTT-14-03_42,1494.496,,,'500',,A,A,,,,,,,,,
,4,WTT-14-05_42,WTT-14-04_42,1430.789,,,'4/0',,A,A,,,,,,,,,
,4,WTT-14-06_42,WTT-14-05_42,1477.553,,,'1/0',,A,A,,,,,,,,,
,1,JB21-1,sub21,7813.34,,,'4/0',,D,C,,,,,,,,,
,1,JB21-2,JB21-1,7863.814,,,'4/0',,D,D,,,,,,,,,
,1,JB21-3,JB21-2,7296.552,,,'4/0',,D,D,,,,,,,,,
,1,WTT-21-01_42,JB21-3,7257.54,,,'4/0',,A,D,,,,,,,,,
,1,WTT-21-02_42,WTT-21-01_42,1517.126,,,'1/0',,A,A,,,,,,,,,
,2,JB22-1,sub22,7818.269,,,'1250',,D,C,,,,,,,,,
,2,JB22-2,JB22-1,7845.789,,,'1250',,D,D,,,,,,,,,
,2,JB22-3,JB22-2,7304.696,,,'1250',,D,D,,,,,,,,,
,2,WTT-22-01_42,JB22-3,7719.883,,,'1250',,A,D,,,,,,,,,
,2,WTT-22-02_42,WTT-22-01_42,1439.852,,,'1000',,A,A,,,,,,,,,
,2,WTT-22-03_42,WTT-22-02_42,1562.008,,,'750',,A,A,,,,,,,,,
,2,WTT-22-04_42,WTT-22-03_42,1428.87,,,'500',,A,A,,,,,,,,,
,2,WTT-22-05_42,WTT-22-04_42,1463.189,,,'4/0',,A,A,,,,,,,,,
,2,WTT-22-06_42,WTT-22-05_42,1453.848,,,'1/0',,A,A,,,,,,,,,
,3,JB23-1,sub23,7836.33,,,'1250',,D,C,,,,,,,,,
,3,JB23-2,JB23-1,7844.172,,,'1250',,D,D,,,,,,,,,
,3,JB23-3,JB23-2,7312.451,,,'1250',,D,D,,,,,,,,,
,3,WTT-23-01_42,JB23-3,3049.967,,,'1250',,A,D,,,,,,,,,
,3,WTT-23-02_42,WTT-23-01_42,1498.622,,,'1000',,A,A,,,,,,,,,
,3,WTT-23-03_42,WTT-23-02_42,1417.231,,,'750',,A,A,,,,,,,,,
,3,WTT-23-04_42,WTT-23-03_42,1418.645,,,'500',,A,A,,,,,,,,,
,3,WTT-23-05_42,WTT-23-04_42,1351.291,,,'4/0',,A,A,,,,,,,,,
,3,WTT-23-06_42,WTT-23-05_42,1312.909,,,'1/0',,A,A,,,,,,,,,
,4,JB24-1,sub24,7834.377,,,'750',,D,C,,,,,,,,,
,4,WTT-24-01_20,JB24-1,5615.97,,,'750',,B,D,,,,,,,,,
,4,WTT-24-02_20,WTT-24-01_20,3560.716,,,'750',,B,B,,,,,,,,,
,4,WTT-24-03_20,WTT-24-02_20,1194.289,,,'500',,B,B,,,,,,,,,
,4,WTT-24-04_42,WTT-24-03_20,6058.864,,,'500',,A,B,,,,,,,,,
,4,WTT-24-05_42,WTT-24-04_42,1397.849,,,'4/0',,A,A,,,,,,,,,
,4,WTT-24-06_42,WTT-24-05_42,1433.679,,,'1/0',,A,A,,,,,,,,,
,5,JB25-1,sub25,7673.72,,,'1250',,D,C,,,,,,,,,
,5,JB25-2,JB25-1,7666.426,,,'1250',,D,D,,,,,,,,,
,5,JB25-3,JB25-2,8245.549,,,'1250',,D,D,,,,,,,,,
,5,JB25-4,JB25-3,5526.339,,,'1250',,D,D,,,,,,,,,
,5,WTT-25-01_42,JB25-4,5642.348,,,'1250',,A,D,,,,,,,,,
,5,WTT-25-02_42,WTT-25-01_42,2824.793,,,'1000',,A,A,,,,,,,,,
,5,WTT-25-03_42,WTT-25-02_42,1710.677,,,'750',,A,A,,,,,,,,,
,5,WTT-25-04_42,WTT-25-03_42,1210.975,,,'500',,A,A,,,,,,,,,
,5,WTT-25-05_42,WTT-25-04_42,1367.881,,,'4/0',,A,A,,,,,,,,,
,5,WTT-25-06_42,WTT-25-05_42,1416.919,,,'1/0',,A,A,,,,,,,,,
,1,JB31-1,sub31,7698.864,,,'1250',,D,C,,,,,,,,,
