
Feeder	From Node	To Node	Length (ft)	Cable Size
1	JB11-1	sub11	8185.039	'1250'
1	JB11-2	JB11-1	8151.1	'1250'
1	JB11-3	JB11-2	6739.767	'1250'
1	JB11-4	JB11-3	8237.558	'1250'
1	WTT-11-01	JB11-4	5072.203	'1250'
1	WTT-11-02	WTT-11-01	1458.588	'1000'
1	WTT-11-03	WTT-11-02	6400.027	'750'
1	WTT-11-04	WTT-11-03	1349.352	'500'
1	WTT-11-05	WTT-11-04	1462.444	'4/0'
1	WTT-11-06	WTT-11-05	1387.876	'1/0'
2	JB12-1	sub12	8142.284	'1250'
2	WTT-12-03	WTT-12-02	1477.932	'750'
2	WTT-12-04	WTT-12-03	1594.181	'500'
2	WTT-12-05	WTT-12-04	1423.982	'4/0'
2	WTT-12-06	WTT-12-05	1480.449	'1/0'
2	WTT-12-02	WTT-12-01	1537.267	'1000'
2	JB12-2	JB12-1	8096.63	'1250'
2	JB12-3	JB12-2	6754.327	'1250'
2	JB12-4	JB12-3	8340.042	'1250'
2	WTT-12-01	JB12-4	7931.039	'1250'
3	JB13-1	sub13	8132.095	'1250'
3	WTT-13-05	WTT-13-04	1427.984	'4/0'
3	WTT-13-06	WTT-13-05	1419.706	'1/0'
3	WTT-13-03	WTT-13-02	1499.047	'750'
3	WTT-13-04	WTT-13-03	1408.632	'500'
3	WTT-13-02	WTT-13-01	1475.362	'1000'
3	JB13-2	JB13-1	8034.469	'1250'
3	JB13-3	JB13-2	6779.795	'1250'
3	WTT-13-01	JB13-3	4901.124	'1250'
4	JB14-1	sub14	8127.457	'1250'
4	WTT-14-06	WTT-14-05	1477.553	'1/0'
4	WTT-14-04	WTT-14-03	1494.496	'500'
4	WTT-14-05	WTT-14-04	1430.789	'4/0'
4	JB14-2	JB14-1	7999.961	'1250'
4	JB14-3	JB14-2	6817.186	'1250'
4	WTT-14-01	JB14-3	1918.942	'1250'
4	WTT-14-02	WTT-14-01	1427.446	'1000'
4	WTT-14-03	WTT-14-02	4839.831	'750'
